,store,item,sales,day
,1,1,12,Tuesday
,1,1,11,Wednesday
,1,1,14,Thursday
,1,1,14,Friday
,1,1,14,Saturday
,1,1,20,Sunday
,1,1,13,Monday
,1,1,13,Tuesday
,1,1,14,Wednesday
,1,1,20,Thursday
,1,1,17,Friday
,1,1,17,Saturday
,1,1,20,Sunday
,1,1,15,Monday
,1,1,15,Tuesday
,1,1,15,Wednesday
,1,1,10,Thursday
,1,1,10,Friday
,1,1,18,Saturday
,1,1,25,Sunday
,1,1,13,Monday
,1,1,11,Tuesday
,1,1,16,Wednesday
,1,1,17,Thursday
,1,1,18,Friday
,1,1,19,Saturday
,1,1,14,Sunday
,1,1,11,Monday
,1,1,17,Tuesday
,1,1,20,Wednesday
,1,1,21,Thursday
,1,1,20,Friday
,1,1,24,Saturday
,1,1,19,Sunday
,1,1,12,Monday
,1,1,20,Tuesday
,1,1,16,Wednesday
,1,1,17,Thursday
,1,1,22,Friday
,1,1,18,Saturday
,1,1,23,Sunday
,1,1,16,Monday
,1,1,20,Tuesday
,1,1,20,Wednesday
,1,1,9,Thursday
,1,1,18,Friday
,1,1,13,Saturday
,1,1,17,Sunday
,1,1,17,Monday
,1,1,18,Tuesday
,1,1,17,Wednesday
,1,1,16,Thursday
,1,1,17,Friday
,1,1,31,Saturday
,1,1,20,Sunday
,1,1,16,Monday
,1,1,25,Tuesday
,1,1,25,Wednesday
,1,1,17,Thursday
,1,1,19,Friday
,1,1,30,Saturday
,1,1,16,Sunday
,1,1,8,Monday
,1,1,21,Tuesday
,1,1,6,Wednesday
,1,1,13,Thursday
,1,1,15,Friday
,1,1,17,Saturday
,1,1,17,Sunday
,1,1,8,Monday
,1,1,14,Tuesday
,1,1,7,Wednesday
,1,1,5,Thursday
,1,1,13,Friday
,1,1,16,Saturday
,1,1,15,Sunday
,1,1,15,Monday
,1,1,8,Tuesday
,1,1,18,Wednesday
,1,1,7,Thursday
,1,1,13,Friday
,1,1,11,Saturday
,1,1,9,Sunday
,1,1,8,Monday
